road,chainage,newcat,new,oldcat,comment
R820,69.996,A,,D,Srinagar Bazar Bridge
R820,70.111,A,,C,Srinagar Bazar Bridge(east)Bridge
R820,70.111,A,,C,SRENAGAR RCC GIDER BRIDGE
N1,380.346,A,,C,Bakkhali Bridge
N1,393.764,A,,B,Modomconiara
N1,416.057,A,,C,Balukali Old bus Stand Bridge
N1,417.29,A,,C,Balukhali Boro Bridge
N1,419.278,A,,C,Thang Khali Bridge
N1,420.093,A,,B,Jam Toli Bridge
N1,422.447,A,,B,Palong Khali Bazar Bridge
N1,423.67,A,,B,Karontoli  Bridge
N1,424.577,A,,C,Kata Khali Bridge
N1,425.267,A,,B,Porbo Kata Khali Bridge
N1,426.915,A,,C,Balu Khali Bridge
N1,427.622,A,,C,Wheke Kang Bridge
N1,427.918,A,,C,Moa Ex Kang Bridge
N1,428.095,A,,B,Hoacx Kang Barbar Bridge
N1,429.081,A,,C,Tasse Bridge
N1,430.978,A,,C,Unchi-Prong Bridge
N1,435.22,A,,C,Gim-mogari Bridge
N1,436.388,A,,C,Noya Bazar(1) Bridge
N1,436.789,A,,C,Naya Bazar(2) Bridge
N1,437.063,A,,B,Naya Bazar(3) Bridge
N1,440.028,A,,C,Nila-Hoab Rabg Bridge
N1,443.024,A,,C,Chowdhory Para Bridge
N1,444.315,A,,C,Rongi-Khali Bridge
N1,445.478,A,,C,Ala Khali Kuna Para Bridge
N1,447.401,A,,C,Noya Para Bridge
N1,448.054,A,,B,Mosinni Mor Bridge
N1,449.101,A,,C,Jadirghat Bridge
N1,451.328,A,,C,Dhando Mia Bridge
N1,451.984,A,,B,Dondo Mia Checkpost Bridge
N1,453.05,A,,C,Domdomia Bridge (3)
N1,453.95,A,,B,Karumtoli Bridge
N1,454.498,A,,C,Sholo Bandar Teknaf Bridge
N1,455.688,A,,C,Baroy toli (1) Bridge
N1,458.799,A,,C,Eskahal Bridge
N1,460.113,A,,C,Yaknat Bridge
N102,28.106,A,,C,Gafur nagar Bridge
N102,30.562,A,,C,Yousufpur Bridge.
N102,52.474,A,,B,Bizna Bridge
N102,58.681,A,,B,Ujaneswar Bridge
N102,59.655,A,,B,Akhand Bridge
N102,63.311,A,,B,Sultanpur Uttar Bridge
N102,64.608,A,,C,Radhika Bridge
N102,70.285,A,,C,Kath toli old Bridge
N102,76.824,A,,C,Gabura Bridge.
N106,2.521,A,,B,Natunpara Bridge
N106,14.371,A,,B,Subadaggu Bridge
N106,15.075,A,,C,Isapur Bridge
N106,16.597,A,,C,Sardargat Bridge
N106,17.703,A,,C,Miarghat Bridge
N106,20.585,A,,C,Boropool Bridge
N106,21.851,A,,C,Dabbo Bridge
N106,23.096,A,,C,Beroli Bridge
N106,40.007,A,,C,Rahirhat Bridge
N106,44.33,A,,B,Mogachhari Bridge
N106,55.929,A,,B,Manikchhari Bridge
N4,20.285,A,,B,Latifpur Bridge -1
N4,31.183,A,,C,Dewhata Bridge
N4,32.009,A,,B,Dewhata Bridge-2
N4,41.71,A,,B,Asimtola Bridge
N4,42.791,A,,B,Pakulla Bridge
N4,64.494,A,,B,Tarabaira Bridge
N4,65.173,A,,B,Panch Brikramhati Bridge
N4,65.998,A,,B,Rosulpur Bridge
N4,72.502,A,,B,Boro Ichapur Bridge
N4,74.8,A,,B,Bangra Bridge
N4,75.411,A,,C,Dhunail  Bridge
N4,77.366,A,,B,Chatipara Bridge
N4,78.987,A,,B,Kalihati Bridge
N4,84.466,A,,C,Nozunbag Bridge
N4,85.38,A,,B,Dhopajani Bridge
N4,87.256,A,,B,Gologram Bridge
N4,90.982,A,,B,Baniapara Bridge
N4,96.541,A,,C,Pakutia Bridge
R140,27.111,A,,B,Modafpurgoni Bridge.
R140,44.111,A,,C,Amatatpur Bridge
R140,74.438,A,,B,Sobangrame Bridge
R140,75.015,A,,C,Sobungrame Bridge-1
R140,88.906,A,,B,Boarder Bazar Bridge
R140,95.933,A,,B,Gabgaswala barir Bridge
R140,105.93,A,,B,Verinmatha Bridge
R140,107.756,A,,B,Toktarpul Bridge
R140,119.007,A,,C,Bottoli Bridge
R140,126.432,A,,B,Chandraganj Bridge
R140,130.079,A,,B,Fenaghata Bridge
R143,16.53,A,,C,Nuhullahpur Bridge
R143,20.234,A,,C,Haider ganj Bridge
R170,11.571,A,,C,Dumuria Bridge
R170,15.135,A,,C,Golden Park Bridge
R170,15.963,A,,C,Shinghora Bridge
R170,37.302,A,,C,6 No. Bair Chori Bridge
R170,45.493,A,,C,Shilkop Bridge
R170,47.121,A,,B,Chambol Bridge
R170,51.987,A,,C,Bohadder Bridge
R170,55.306,A,,B,Hashiyar Para Bridge
R250,50.763,A,,B,Julay Bridge
R250,53.291,A,,B,Eidga Bridge
R250,64.762,A,,B,Kaliganj Bazar Bridge
R250,75.08,A,,B,Baro Thakur Bridge
R280,14.355,A,,B,M.A.Khan Bridge
R280,17.43,A,,B,Shahapur Bridge
R280,23.435,A,,B,Takirai Bridge
R280,34.968,A,,C,Jawa Steel Bridge
R280,37.486,A,,B,Karai Bridge
R280,40.571,A,,B,Damodor Bridge
R280,45.27,A,,B,Pagla Bazar Bridge
R280,50.925,A,,B,Sadarpur Bridge
R280,51.072,A,,B,Joykalas Bridge
R360,102.911,A,,B,Ganokkhal Bridge
R820,4.64,A,,C,Gadarbag Bridge
R820,5.586,A,,C,Dausur Bridge
R820,27.885,A,,B,Agla Bazar Bridge
R820,69.996,A,,C,Srinagar Bazar Bridge
R820,70.111,A,,B,Srinagar Bazar Bridge(east)Bridge
