road,chainage,newcat,new,oldcat,comment
N4,3.701,A,,B,KODDA TURAG BRIDGE
N4,4.793,A,,B,BYPILE BRIDGE
N4,19.536,A,,B,LOTIF PUR CULVERT
N4,20.285,A,,B,Latifpur Bridge -1
N4,31.183,A,,C,Dewhata Bridge
N4,32.009,A,,B,Dewhata Bridge-2
N4,37.302,A,,B,KONNI BOX CULVERT
N4,38.231,A,,B,SUBOLLA (1)
N4,41.71,A,,B,Asimtola Bridge
N4,42.791,A,,B,Pakulla Bridge
N4,44.27,A,,B,JAMOKI BRIDGE
N4,53.594,A,,B,MADORDONI
N4,61.867,A,,B,KANDILA BRIDGE
N4,62.976,A,,B,SHIBPUR BRIDGE
N4,64.494,A,,B,Tarabaira Bridge
N4,65.173,A,,B,Panch Brikramhati Bridge
N4,65.998,A,,B,Rosulpur Bridge
N4,65.998,A,,C,ROSULPUR BRIDGE
N4,67.206,A,,C,POULIE BRIDGE
N4,72.502,A,,B,Boro Ichapur Bridge
N4,73.276,A,,C,SARKAIL BAILEY WITH STEEL DECK
